train_loss_step,epoch,step,train_recon_loss_step,train_main_loss_step,val_recon_loss_step,val_main_loss_step,val_loss_step,val_recon_loss_epoch,val_main_loss_epoch,val_loss_epoch,train_loss_epoch,train_main_loss_epoch,train_recon_loss_epoch
,,316,,,722.948974609375,837948224.0,418974848.0,,,,,,
,,317,,,722.9512939453125,783551680.0,391776576.0,,,,,,
,,318,,,722.94873046875,920852288.0,460426880.0,,,,,,
,,319,,,722.9515991210938,721473664.0,360737568.0,,,,,,
,15,1279,,,,,,722.9491577148438,787469824.0,393735680.0,,,
,15,1279,,,,,,,,,391471424.0,782941184.0,764.5853881835938
355662880.0,16,1299,602.9716186523438,711324544.0,,,,,,,,,
374568672.0,16,1349,459.044677734375,749136448.0,,,,,,,,,
,,320,,,469.9100341796875,776247680.0,388124320.0,,,,,,
,,321,,,469.9096984863281,861630144.0,430815552.0,,,,,,
,,322,,,469.904296875,839146880.0,419573920.0,,,,,,
,,323,,,469.9084167480469,724987968.0,362494464.0,,,,,,
,,324,,,469.91021728515625,668730176.0,334365568.0,,,,,,
,,325,,,469.9054260253906,761075776.0,380538368.0,,,,,,
,,326,,,469.9082946777344,901672320.0,450836640.0,,,,,,
,,327,,,469.9054260253906,800668544.0,400334752.0,,,,,,
,,328,,,469.9095153808594,762368192.0,381184576.0,,,,,,
,,329,,,469.9073486328125,728862720.0,364431840.0,,,,,,
,,330,,,469.90771484375,684573760.0,342287360.0,,,,,,
,,331,,,469.9078063964844,818078464.0,409039712.0,,,,,,
,,332,,,469.91180419921875,679306496.0,339653728.0,,,,,,
,,333,,,469.9082946777344,615330176.0,307665568.0,,,,,,
,,334,,,469.9085693359375,942080896.0,471040928.0,,,,,,
,,335,,,469.91363525390625,759594624.0,379797792.0,,,,,,
,,336,,,469.9086608886719,827720256.0,413860608.0,,,,,,
,,337,,,469.90863037109375,773484736.0,386742848.0,,,,,,
,,338,,,469.90899658203125,909589376.0,454795168.0,,,,,,
,,339,,,469.9083251953125,711953408.0,355977184.0,,,,,,
,16,1359,,,,,,469.9085693359375,777355136.0,388678016.0,,,
,16,1359,,,,,,,,,386928672.0,773856448.0,544.373046875
441260224.0,17,1399,315.62774658203125,882519808.0,,,,,,,,,
,,340,,,250.42347717285156,764269184.0,382134848.0,,,,,,
,,341,,,250.4232177734375,848739392.0,424369952.0,,,,,,
,,342,,,250.4199981689453,826738432.0,413369472.0,,,,,,
,,343,,,250.42222595214844,713716608.0,356858560.0,,,,,,
,,344,,,250.42361450195312,657862336.0,328931424.0,,,,,,
